Student_Name,College_Name,Stream,Year_of_Study,AI_Tools_Used,Daily_Usage_Hours,Use_Cases,Trust_in_AI_Tools,Impact_on_Grades,Do_Professors_Allow_Use,Preferred_AI_Tool,Awareness_Level,Willing_to_Pay_for_Access,Device_Used,Internet_Access,Student_ID
sneha,srimanta sankaradeva university of health sciences,pharmacy,1,copilot,2.0,resume writing,5,1,yes,copilot,1,yes,laptop,poor,952
divya,"trivandrum university college, thiruvananthapuram",science,1,chatgpt,3.1,learning new topics,1,3,yes,chatgpt,5,no,laptop,high,953
neha,magadh university,arts,4,"chatgpt, gemini, copilot",2.5,doubt solving,5,0,no,chatgpt,9,yes,mobile,poor,954
neha,magadh university,arts,4,"chatgpt, gemini, copilot",2.5,resume writing,5,0,no,chatgpt,9,yes,mobile,poor,954
pooja,kalinga institute of industrial technology,management,4,"chatgpt, copilot",2.4,assignments,1,2,yes,chatgpt,1,no,laptop,medium,955
pooja,kalinga institute of industrial technology,management,4,"chatgpt, copilot",2.4,coding help,1,2,yes,chatgpt,1,no,laptop,medium,955
kavya,"bahona college, jorhat",arts,1,"gemini, midjourney",3.1,learning new topics,3,-2,no,gemini,7,no,tablet,poor,956
aishwarya,"icfai university, west tripura",law,4,"chatgpt, copilot",1.3,assignments,3,1,yes,gemini,10,no,tablet,poor,957
aishwarya,"icfai university, west tripura",law,4,"chatgpt, copilot",1.3,coding help,3,1,yes,gemini,10,no,tablet,poor,957
shreya,"srm university sikkim, gangtok",management,4,gemini,3.1,doubt solving,5,-3,no,other,1,no,tablet,high,958
shreya,"srm university sikkim, gangtok",management,4,gemini,3.1,resume writing,5,-3,no,other,1,no,tablet,high,958
nandini,op jindal university,engineering,1,gemini,0.6,exam prep,3,1,yes,gemini,7,yes,laptop,poor,959
nandini,op jindal university,engineering,1,gemini,0.6,notes,3,1,yes,gemini,7,yes,laptop,poor,959
aarav,andhra loyola college,commerce,3,copilot,2.9,assignments,5,-3,yes,chatgpt,1,no,mobile,high,960
aarav,andhra loyola college,commerce,3,copilot,2.9,coding help,5,-3,yes,chatgpt,1,no,mobile,high,960
vivaan,rj school of management studies,commerce,3,chatgpt,4.3,doubt solving,1,-2,yes,other,6,yes,mobile,medium,961
vivaan,rj school of management studies,commerce,3,chatgpt,4.3,resume writing,1,-2,yes,other,6,yes,mobile,medium,961
aditya,bankura christian college,medical,3,"chatgpt, gemini, copilot",2.9,doubt solving,2,0,yes,gemini,2,yes,laptop,high,962
aditya,bankura christian college,medical,3,"chatgpt, gemini, copilot",2.9,resume writing,2,0,yes,gemini,2,yes,laptop,high,962
vihaan,"st. xavier's college (autonomous), palayamkottai",science,4,chatgpt,2.2,exam prep,1,0,no,other,8,no,tablet,high,963
vihaan,"st. xavier's college (autonomous), palayamkottai",science,4,chatgpt,2.2,notes,1,0,no,other,8,no,tablet,high,963
arjun,"sd college of pharmacy and vocational studies,",pharmacy,2,"gemini, midjourney",3.3,doubt solving,1,-2,yes,gemini,2,no,laptop,medium,964
arjun,"sd college of pharmacy and vocational studies,",pharmacy,2,"gemini, midjourney",3.3,resume writing,1,-2,yes,gemini,2,no,laptop,medium,964
sai,siva sivani institute of management,science,1,gemini,0.5,content writing,1,-2,no,other,7,no,mobile,medium,965
reyansh,techno global university,arts,2,copilot,3.4,mcq practice,1,3,yes,chatgpt,9,no,laptop,high,966
reyansh,techno global university,arts,2,copilot,3.4,projects,1,3,yes,chatgpt,9,no,laptop,high,966
ayaan,army institute of fashion and design,science,1,chatgpt,0.8,exam prep,3,0,no,gemini,10,yes,mobile,poor,967
ayaan,army institute of fashion and design,science,1,chatgpt,0.8,notes,3,0,no,gemini,10,yes,mobile,poor,967
krishna,"government degree college, jammu",arts,1,copilot,4.3,content writing,2,2,no,other,6,no,tablet,high,968
ishaan,dharmsinh desai university,engineering,3,copilot,1.1,mcq practice,5,-3,yes,chatgpt,5,no,tablet,poor,969
ishaan,dharmsinh desai university,engineering,3,copilot,1.1,projects,5,-3,yes,chatgpt,5,no,tablet,poor,969
rudra,janardan rai nagar rajasthan vidyapeeth university,hotel-management,1,copilot,0.7,mcq practice,3,-3,yes,other,2,no,tablet,medium,970
rudra,janardan rai nagar rajasthan vidyapeeth university,hotel-management,1,copilot,0.7,projects,3,-3,yes,other,2,no,tablet,medium,970
dhruv,"the modern college, imphal",science,1,"chatgpt, gemini, copilot",2.0,learning new topics,5,1,yes,other,2,yes,tablet,medium,971
kabir,"st. alphonsa college of hotel management studies,",hotel-management,3,"gemini, midjourney",2.7,doubt solving,4,-3,no,chatgpt,8,yes,laptop,poor,972
kabir,"st. alphonsa college of hotel management studies,",hotel-management,3,"gemini, midjourney",2.7,resume writing,4,-3,no,chatgpt,8,yes,laptop,poor,972
atharv,manipal school of architecture and planning,arts,4,"chatgpt, gemini, copilot",2.4,learning new topics,1,-1,no,chatgpt,6,yes,laptop,poor,973
om,indian institute of technology,arts,2,copilot,4.1,doubt solving,5,1,no,gemini,3,yes,laptop,high,974
om,indian institute of technology,arts,2,copilot,4.1,resume writing,5,1,no,gemini,3,yes,laptop,high,974
anaya,"faculty of applied sciences and biotechnology, shoolini",science,4,"chatgpt, gemini, copilot",3.9,mcq practice,4,-1,yes,copilot,7,yes,laptop,poor,975
anaya,"faculty of applied sciences and biotechnology, shoolini",science,4,"chatgpt, gemini, copilot",3.9,projects,4,-1,yes,copilot,7,yes,laptop,poor,975
siya,institute of hotel management and catering technology,hotel-management,3,"chatgpt, copilot",2.2,learning new topics,3,3,yes,gemini,6,no,mobile,high,976
diya,"government homoeopathic medical college, calicut",medical,2,chatgpt,2.1,doubt solving,1,0,yes,copilot,1,no,mobile,poor,977
diya,"government homoeopathic medical college, calicut",medical,2,chatgpt,2.1,resume writing,1,0,yes,copilot,1,no,mobile,poor,977
myra,"nirmala college of arts and science, chalakkudy,",hotel-management,4,gemini,1.7,exam prep,4,0,yes,other,7,no,tablet,poor,978
myra,"nirmala college of arts and science, chalakkudy,",hotel-management,4,gemini,1.7,notes,4,0,yes,other,7,no,tablet,poor,978
aadhya,"government home science college, chandigarh",science,2,"chatgpt, gemini, copilot",0.8,assignments,1,0,no,copilot,3,yes,tablet,medium,979
aadhya,"government home science college, chandigarh",science,2,"chatgpt, gemini, copilot",0.8,coding help,1,0,no,copilot,3,yes,tablet,medium,979
riya,"pcte group of institutes, ludhiana",pharmacy,2,"gemini, midjourney",2.1,assignments,2,1,yes,chatgpt,9,yes,tablet,medium,980
riya,"pcte group of institutes, ludhiana",pharmacy,2,"gemini, midjourney",2.1,coding help,2,1,yes,chatgpt,9,yes,tablet,medium,980
pari,christ institute of technology,engineering,4,copilot,3.2,content writing,4,1,yes,other,2,yes,laptop,medium,981
anika,kakinada institute of technology and science,pharmacy,1,"chatgpt, copilot",2.6,assignments,5,2,no,gemini,8,no,tablet,medium,982
anika,kakinada institute of technology and science,pharmacy,1,"chatgpt, copilot",2.6,coding help,5,2,no,gemini,8,no,tablet,medium,982
ira,bv raju institute of technology,engineering,1,chatgpt,2.1,doubt solving,3,1,yes,gemini,9,no,laptop,poor,983
ira,bv raju institute of technology,engineering,1,chatgpt,2.1,resume writing,3,1,yes,gemini,9,no,laptop,poor,983
meera,mahatma gandhi government engineering college,engineering,4,"chatgpt, copilot",3.0,assignments,4,-1,no,copilot,8,yes,tablet,high,984
meera,mahatma gandhi government engineering college,engineering,4,"chatgpt, copilot",3.0,coding help,4,-1,no,copilot,8,yes,tablet,high,984
saanvi,"aims college of management and technology, anand",agriculture,4,"gemini, midjourney",3.3,content writing,1,-3,yes,other,5,no,mobile,high,985
navya,indus institute of hotel management,hotel-management,3,"chatgpt, copilot",2.3,learning new topics,5,1,no,other,10,yes,tablet,poor,986
aarohi,"guru kashi university, bathinda",law,1,copilot,3.8,assignments,1,0,yes,chatgpt,10,yes,mobile,medium,987
aarohi,"guru kashi university, bathinda",law,1,copilot,3.8,coding help,1,0,yes,chatgpt,10,yes,mobile,medium,987
prisha,sambhram college of hotel management,hotel-management,2,"gemini, midjourney",0.7,learning new topics,3,-2,yes,copilot,4,no,tablet,poor,988
ishita,punjab college of technical education,hotel-management,1,chatgpt,2.2,content writing,5,-2,no,gemini,2,yes,tablet,high,989
rakhi,maharishi markandeshwar,medical,4,copilot,1.6,mcq practice,1,-1,no,chatgpt,2,no,tablet,medium,990
rakhi,maharishi markandeshwar,medical,4,copilot,1.6,projects,1,-1,no,chatgpt,2,no,tablet,medium,990
ramya,career point university,commerce,4,"chatgpt, gemini, copilot",1.1,content writing,3,-1,no,other,1,no,tablet,medium,991
sneha,"government medical college, kozhikode",pharmacy,2,"gemini, midjourney",1.2,assignments,2,-2,no,gemini,4,yes,mobile,medium,992
sneha,"government medical college, kozhikode",pharmacy,2,"gemini, midjourney",1.2,coding help,2,-2,no,gemini,4,yes,mobile,medium,992
divya,international school of hospitality management,hotel-management,2,copilot,0.5,doubt solving,4,-2,yes,gemini,8,yes,mobile,poor,993
divya,international school of hospitality management,hotel-management,2,copilot,0.5,resume writing,4,-2,yes,gemini,8,yes,mobile,poor,993
neha,national institute of technology,arts,1,"gemini, midjourney",3.9,assignments,5,2,yes,copilot,7,yes,mobile,high,994
neha,national institute of technology,arts,1,"gemini, midjourney",3.9,coding help,5,2,yes,copilot,7,yes,mobile,high,994
pooja,"st. mira's college for girls, pune",commerce,1,"chatgpt, copilot",4.3,doubt solving,2,2,yes,other,2,no,mobile,high,995
pooja,"st. mira's college for girls, pune",commerce,1,"chatgpt, copilot",4.3,resume writing,2,2,yes,other,2,no,mobile,high,995
kavya,roorkee college of pharmacy,pharmacy,3,copilot,3.0,content writing,2,1,no,copilot,5,yes,tablet,poor,996
aishwarya,"bahona college, jorhat",agriculture,3,gemini,2.7,exam prep,2,1,yes,copilot,3,no,tablet,medium,997
aishwarya,"bahona college, jorhat",agriculture,3,gemini,2.7,notes,2,1,yes,copilot,3,no,tablet,medium,997
shreya,sree chitra thirunal college of engineering,engineering,4,gemini,2.7,exam prep,3,3,yes,gemini,3,yes,laptop,poor,998
shreya,sree chitra thirunal college of engineering,engineering,4,gemini,2.7,notes,3,3,yes,gemini,3,yes,laptop,poor,998
nandini,"poona college of pharmacy, pune",pharmacy,3,copilot,0.9,exam prep,1,2,no,copilot,2,no,mobile,poor,999
nandini,"poona college of pharmacy, pune",pharmacy,3,copilot,0.9,notes,1,2,no,copilot,2,no,mobile,poor,999
aarav,"government degree college, srinagar",science,1,chatgpt,3.8,mcq practice,2,-4,yes,bard,7,no,mobile,medium,1000
vivaan,sardar vallabhbhai national institute of technology,engineering,2,gemini,2.8,doubt solving,2,5,no,gemini,8,yes,mobile,medium,1001
aditya,"bimala prasad chaliha college, kamrup",science,4,copilot,1.8,learning new topics,1,-4,no,chatgpt,6,no,tablet,high,1002
vihaan,national institute of technology,science,1,other,2.6,projects,1,3,no,other,10,no,tablet,poor,1003
arjun,"lucky institute of professional studies, jodhpur",commerce,1,chatgpt,3.5,coding help,1,1,no,claude,6,no,laptop,high,1004
arjun,"lucky institute of professional studies, jodhpur",commerce,1,chatgpt,3.5,mcq practice,1,1,no,claude,6,no,laptop,high,1004
sai,bharati vidyapeeth deemed university,pharmacy,2,other,1.7,coding help,2,-3,no,claude,5,no,tablet,medium,1005
sai,bharati vidyapeeth deemed university,pharmacy,2,other,1.7,resume writing,2,-3,no,claude,5,no,tablet,medium,1005
sai,bharati vidyapeeth deemed university,pharmacy,2,other,1.7,content writing,2,-3,no,claude,5,no,tablet,medium,1005
reyansh,"imphal college, imphal",science,1,gemini,4.2,projects,1,-2,no,gemini,8,no,tablet,high,1006
reyansh,"imphal college, imphal",science,1,gemini,4.2,content writing,1,-2,no,gemini,8,no,tablet,high,1006
ayaan,"mats university, raipur",commerce,2,copilot,1.1,doubt solving,5,1,no,copilot,4,no,tablet,poor,1007
ayaan,"mats university, raipur",commerce,2,copilot,1.1,content writing,5,1,no,copilot,4,no,tablet,poor,1007
ayaan,"mats university, raipur",commerce,2,copilot,1.1,learning new topics,5,1,no,copilot,4,no,tablet,poor,1007
krishna,fortune institute of international business,management,1,chatgpt,4.4,resume writing,4,4,yes,claude,7,yes,tablet,poor,1008
ishaan,baldev institute of management technology and sciences,management,1,other,3.7,doubt solving,3,-4,no,claude,3,no,mobile,high,1009
ishaan,baldev institute of management technology and sciences,management,1,other,3.7,content writing,3,-4,no,claude,3,no,mobile,high,1009
ishaan,baldev institute of management technology and sciences,management,1,other,3.7,projects,3,-4,no,claude,3,no,mobile,high,1009
rudra,doranda college,commerce,3,bard,3.9,coding help,5,4,yes,gemini,6,yes,tablet,high,1010
rudra,doranda college,commerce,3,bard,3.9,content writing,5,4,yes,gemini,6,yes,tablet,high,1010
rudra,doranda college,commerce,3,bard,3.9,projects,5,4,yes,gemini,6,yes,tablet,high,1010
dhruv,st. joseph's institute of hotel management &,hotel-management,1,bard,2.0,coding help,3,-1,yes,chatgpt,4,no,mobile,medium,1011
kabir,bv patel pharmaceutical education and research development,pharmacy,4,chatgpt,4.9,resume writing,4,3,yes,copilot,9,no,mobile,medium,1012
kabir,bv patel pharmaceutical education and research development,pharmacy,4,chatgpt,4.9,doubt solving,4,3,yes,copilot,9,no,mobile,medium,1012
kabir,bv patel pharmaceutical education and research development,pharmacy,4,chatgpt,4.9,learning new topics,4,3,yes,copilot,9,no,mobile,medium,1012
atharv,"bhavik college of management and information technology,",science,2,other,1.9,learning new topics,4,-4,yes,gemini,2,yes,mobile,medium,1013
atharv,"bhavik college of management and information technology,",science,2,other,1.9,exam prep,4,-4,yes,gemini,2,yes,mobile,medium,1013
atharv,"bhavik college of management and information technology,",science,2,other,1.9,content writing,4,-4,yes,gemini,2,yes,mobile,medium,1013
om,"modern group of colleges- [mgc], hoshiarpur",agriculture,2,bard,1.5,assignments,2,-4,yes,copilot,2,yes,laptop,medium,1014
anaya,ramchandra chandravansi university,medical,4,gemini,2.9,exam prep,4,1,yes,chatgpt,2,yes,laptop,poor,1015
anaya,ramchandra chandravansi university,medical,4,gemini,2.9,mcq practice,4,1,yes,chatgpt,2,yes,laptop,poor,1015
anaya,ramchandra chandravansi university,medical,4,gemini,2.9,projects,4,1,yes,chatgpt,2,yes,laptop,poor,1015
siya,adarsh institute of management and information technology,management,4,claude,4.4,coding help,1,1,no,chatgpt,4,no,mobile,medium,1016
diya,"post graduate government college for girls, chandigarh",arts,4,gemini,2.4,exam prep,1,2,yes,chatgpt,9,yes,mobile,high,1017
diya,"post graduate government college for girls, chandigarh",arts,4,gemini,2.4,mcq practice,1,2,yes,chatgpt,9,yes,mobile,high,1017
myra,"sumandeep vidyapeeth, vadodara",management,2,claude,2.7,projects,1,-3,no,chatgpt,7,no,laptop,high,1018
aadhya,"sushant university / ansal university, gurgaon",law,4,other,4.8,exam prep,3,-2,yes,bard,9,yes,tablet,poor,1019
aadhya,"sushant university / ansal university, gurgaon",law,4,other,4.8,resume writing,3,-2,yes,bard,9,yes,tablet,poor,1019
aadhya,"sushant university / ansal university, gurgaon",law,4,other,4.8,coding help,3,-2,yes,bard,9,yes,tablet,poor,1019
riya,"patliputra university, patna",law,1,chatgpt,3.1,doubt solving,5,-4,yes,chatgpt,10,no,tablet,medium,1020
riya,"patliputra university, patna",law,1,chatgpt,3.1,resume writing,5,-4,yes,chatgpt,10,no,tablet,medium,1020
riya,"patliputra university, patna",law,1,chatgpt,3.1,assignments,5,-4,yes,chatgpt,10,no,tablet,medium,1020
pari,"adwaita malla barman smriti mahavidyalaya (ambs), amarpur",arts,4,chatgpt,4.7,mcq practice,1,1,no,copilot,4,no,mobile,high,1021
pari,"adwaita malla barman smriti mahavidyalaya (ambs), amarpur",arts,4,chatgpt,4.7,assignments,1,1,no,copilot,4,no,mobile,high,1021
pari,"adwaita malla barman smriti mahavidyalaya (ambs), amarpur",arts,4,chatgpt,4.7,content writing,1,1,no,copilot,4,no,mobile,high,1021
anika,jai hind college,commerce,4,gemini,3.5,exam prep,1,-5,no,bard,10,yes,mobile,high,1022
anika,jai hind college,commerce,4,gemini,3.5,learning new topics,1,-5,no,bard,10,yes,mobile,high,1022
ira,"st joseph's degree and pg college, hyderabad",arts,2,bard,1.7,coding help,3,-1,yes,claude,9,yes,tablet,poor,1023
ira,"st joseph's degree and pg college, hyderabad",arts,2,bard,1.7,mcq practice,3,-1,yes,claude,9,yes,tablet,poor,1023
meera,army college of medical science,medical,1,other,4.2,coding help,3,-4,yes,other,9,no,laptop,poor,1024
meera,army college of medical science,medical,1,other,4.2,resume writing,3,-4,yes,other,9,no,laptop,poor,1024
saanvi,"khalsa college, amritsar",agriculture,2,other,2.0,content writing,1,-4,no,copilot,1,no,laptop,medium,1025
saanvi,"khalsa college, amritsar",agriculture,2,other,2.0,exam prep,1,-4,no,copilot,1,no,laptop,medium,1025
saanvi,"khalsa college, amritsar",agriculture,2,other,2.0,resume writing,1,-4,no,copilot,1,no,laptop,medium,1025
navya,central institute of technology,arts,3,gemini,3.8,projects,1,-3,yes,copilot,10,no,laptop,high,1026
navya,central institute of technology,arts,3,gemini,3.8,assignments,1,-3,yes,copilot,10,no,laptop,high,1026
navya,central institute of technology,arts,3,gemini,3.8,exam prep,1,-3,yes,copilot,10,no,laptop,high,1026
aarohi,central institute of fisheries education,agriculture,1,copilot,2.1,learning new topics,2,5,yes,other,2,yes,tablet,medium,1027
prisha,"maharishi college of natural law, bhubaneswar",science,2,gemini,4.4,projects,1,-3,no,claude,4,no,mobile,high,1028
ishita,jayoti vidyapeeth women's university,pharmacy,1,claude,4.4,mcq practice,4,0,no,gemini,4,no,tablet,medium,1029
ishita,jayoti vidyapeeth women's university,pharmacy,1,claude,4.4,doubt solving,4,0,no,gemini,4,no,tablet,medium,1029
rakhi,"sai group of institutions, dehradun",arts,4,copilot,1.8,content writing,3,5,no,other,9,no,mobile,high,1030
ramya,dr. b. r. ambedkar polytechnic college,engineering,3,gemini,3.1,assignments,5,1,no,other,6,no,tablet,high,1031
ramya,dr. b. r. ambedkar polytechnic college,engineering,3,gemini,3.1,coding help,5,1,no,other,6,no,tablet,high,1031
sneha,chaudhary charan singh university,law,1,claude,4.5,content writing,1,1,yes,bard,9,yes,laptop,high,1032
divya,chitkara university,pharmacy,1,other,4.6,learning new topics,3,3,no,other,7,yes,laptop,medium,1033
divya,chitkara university,pharmacy,1,other,4.6,coding help,3,3,no,other,7,yes,laptop,medium,1033
divya,chitkara university,pharmacy,1,other,4.6,doubt solving,3,3,no,other,7,yes,laptop,medium,1033
neha,"loreto college, kolkata",arts,3,bard,1.1,projects,5,4,no,claude,9,no,laptop,poor,1034
neha,"loreto college, kolkata",arts,3,bard,1.1,resume writing,5,4,no,claude,9,no,laptop,poor,1034
pooja,nalanda college of engineering,engineering,2,claude,4.0,learning new topics,4,5,yes,bard,8,no,tablet,high,1035
pooja,nalanda college of engineering,engineering,2,claude,4.0,exam prep,4,5,yes,bard,8,no,tablet,high,1035
pooja,nalanda college of engineering,engineering,2,claude,4.0,mcq practice,4,5,yes,bard,8,no,tablet,high,1035
kavya,"government college of arts, science and commerce, north goa",arts,3,bard,3.5,learning new topics,2,5,no,gemini,4,no,mobile,high,1036
kavya,"government college of arts, science and commerce, north goa",arts,3,bard,3.5,coding help,2,5,no,gemini,4,no,mobile,high,1036
kavya,"government college of arts, science and commerce, north goa",arts,3,bard,3.5,projects,2,5,no,gemini,4,no,mobile,high,1036
aishwarya,"government maharishi valmiki college, kanker",commerce,2,claude,3.3,exam prep,4,5,yes,other,7,yes,laptop,poor,1037
shreya,"sai nath university, ranchi",science,2,other,3.6,projects,2,-3,no,chatgpt,9,yes,mobile,medium,1038
nandini,the neotia university,agriculture,2,claude,3.5,learning new topics,5,1,no,gemini,8,yes,laptop,medium,1039
nandini,the neotia university,agriculture,2,claude,3.5,exam prep,5,1,no,gemini,8,yes,laptop,medium,1039
nandini,the neotia university,agriculture,2,claude,3.5,content writing,5,1,no,gemini,8,yes,laptop,medium,1039
aarav,assam agricultural university,agriculture,3,bard,2.7,content writing,4,-4,no,gemini,5,no,laptop,high,1040
vivaan,"jamshedpur women's college, jamshedpur",arts,1,gemini,1.2,resume writing,1,1,no,copilot,9,yes,laptop,medium,1041
vivaan,"jamshedpur women's college, jamshedpur",arts,1,gemini,1.2,mcq practice,1,1,no,copilot,9,yes,laptop,medium,1041
aditya,"government degree college, srinagar",science,2,claude,2.3,assignments,1,0,no,claude,7,yes,laptop,high,1042
aditya,"government degree college, srinagar",science,2,claude,2.3,projects,1,0,no,claude,7,yes,laptop,high,1042
aditya,"government degree college, srinagar",science,2,claude,2.3,mcq practice,1,0,no,claude,7,yes,laptop,high,1042
vihaan,"lucky institute of professional studies, jodhpur",commerce,3,claude,2.7,learning new topics,2,2,yes,bard,9,yes,laptop,high,1043
vihaan,"lucky institute of professional studies, jodhpur",commerce,3,claude,2.7,projects,2,2,yes,bard,9,yes,laptop,high,1043
arjun,"pandit sant ram government college, kangra",commerce,1,chatgpt,3.4,exam prep,2,-5,no,claude,6,yes,laptop,poor,1044
sai,"amazon institute of hotel tourism and management,",hotel-management,3,claude,1.8,content writing,4,-5,yes,copilot,4,no,tablet,poor,1045
sai,"amazon institute of hotel tourism and management,",hotel-management,3,claude,1.8,coding help,4,-5,yes,copilot,4,no,tablet,poor,1045
reyansh,anugrah narayan singh college,science,1,gemini,1.4,resume writing,2,-3,no,other,2,no,laptop,high,1046
ayaan,assam agricultural university,management,3,copilot,1.3,coding help,1,4,yes,copilot,10,yes,laptop,medium,1047
ayaan,assam agricultural university,management,3,copilot,1.3,resume writing,1,4,yes,copilot,10,yes,laptop,medium,1047
ayaan,assam agricultural university,management,3,copilot,1.3,exam prep,1,4,yes,copilot,10,yes,laptop,medium,1047
krishna,"daudnagar college, aurangabad",arts,2,chatgpt,3.2,mcq practice,3,5,yes,bard,1,yes,tablet,high,1048
krishna,"daudnagar college, aurangabad",arts,2,chatgpt,3.2,coding help,3,5,yes,bard,1,yes,tablet,high,1048
krishna,"daudnagar college, aurangabad",arts,2,chatgpt,3.2,learning new topics,3,5,yes,bard,1,yes,tablet,high,1048
ishaan,goswami ganesh dutt sanatan dharama college,arts,3,chatgpt,2.8,assignments,4,-4,no,copilot,8,no,laptop,high,1049
ishaan,goswami ganesh dutt sanatan dharama college,arts,3,chatgpt,2.8,projects,4,-4,no,copilot,8,no,laptop,high,1049
rudra,"assam medical college, dibrugarh",medical,3,bard,4.1,exam prep,5,-1,no,gemini,2,yes,laptop,medium,1050
rudra,"assam medical college, dibrugarh",medical,3,bard,4.1,doubt solving,5,-1,no,gemini,2,yes,laptop,medium,1050
rudra,"assam medical college, dibrugarh",medical,3,bard,4.1,mcq practice,5,-1,no,gemini,2,yes,laptop,medium,1050
dhruv,"dodla kousalyamma government college for women, nellore",commerce,4,bard,3.2,learning new topics,4,0,yes,claude,4,yes,laptop,poor,1051
dhruv,"dodla kousalyamma government college for women, nellore",commerce,4,bard,3.2,assignments,4,0,yes,claude,4,yes,laptop,poor,1051
kabir,"annada college, hazaribagh",science,3,bard,3.7,doubt solving,5,-2,yes,gemini,7,yes,tablet,high,1052
kabir,"annada college, hazaribagh",science,3,bard,3.7,assignments,5,-2,yes,gemini,7,yes,tablet,high,1052
atharv,bhargava college of engineering & technology,engineering,4,other,3.7,assignments,3,-2,no,other,4,yes,tablet,medium,1053
atharv,bhargava college of engineering & technology,engineering,4,other,3.7,coding help,3,-2,no,other,4,yes,tablet,medium,1053
om,cluster university of srinagar,engineering,3,claude,3.0,projects,3,2,no,copilot,5,yes,mobile,poor,1054
om,cluster university of srinagar,engineering,3,claude,3.0,learning new topics,3,2,no,copilot,5,yes,mobile,poor,1054
anaya,"post graduate government college, chandigarh",commerce,2,copilot,1.0,resume writing,4,-1,no,chatgpt,4,no,mobile,high,1055
anaya,"post graduate government college, chandigarh",commerce,2,copilot,1.0,mcq practice,4,-1,no,chatgpt,4,no,mobile,high,1055
anaya,"post graduate government college, chandigarh",commerce,2,copilot,1.0,coding help,4,-1,no,chatgpt,4,no,mobile,high,1055
siya,"dina institute of hotel management hadapsar, pune",hotel-management,2,copilot,0.6,resume writing,1,3,no,other,3,no,mobile,poor,1056
siya,"dina institute of hotel management hadapsar, pune",hotel-management,2,copilot,0.6,content writing,1,3,no,other,3,no,mobile,poor,1056
siya,"dina institute of hotel management hadapsar, pune",hotel-management,2,copilot,0.6,assignments,1,3,no,other,3,no,mobile,poor,1056
diya,"teerthanker mahaveer university, college of architecture",medical,3,claude,2.7,resume writing,3,2,yes,chatgpt,7,no,mobile,high,1057
diya,"teerthanker mahaveer university, college of architecture",medical,3,claude,2.7,assignments,3,2,yes,chatgpt,7,no,mobile,high,1057
myra,institute of management studies,management,1,gemini,1.2,content writing,1,3,no,bard,10,yes,tablet,medium,1058
myra,institute of management studies,management,1,gemini,1.2,coding help,1,3,no,bard,10,yes,tablet,medium,1058
myra,institute of management studies,management,1,gemini,1.2,exam prep,1,3,no,bard,10,yes,tablet,medium,1058
aadhya,"pcte group of institutes, ludhiana",pharmacy,4,claude,1.8,projects,5,-5,yes,gemini,4,no,tablet,poor,1059
aadhya,"pcte group of institutes, ludhiana",pharmacy,4,claude,1.8,content writing,5,-5,yes,gemini,4,no,tablet,poor,1059
aadhya,"pcte group of institutes, ludhiana",pharmacy,4,claude,1.8,exam prep,5,-5,yes,gemini,4,no,tablet,poor,1059
riya,college of agribusiness management,management,2,gemini,1.3,resume writing,1,1,no,other,10,no,laptop,medium,1060
pari,"government ram bhajan rai nes college, jashpur",commerce,2,copilot,3.7,exam prep,2,-1,yes,claude,2,yes,tablet,poor,1061
pari,"government ram bhajan rai nes college, jashpur",commerce,2,copilot,3.7,coding help,2,-1,yes,claude,2,yes,tablet,poor,1061
pari,"government ram bhajan rai nes college, jashpur",commerce,2,copilot,3.7,learning new topics,2,-1,yes,claude,2,yes,tablet,poor,1061
anika,lnct university,medical,3,gemini,0.8,content writing,5,4,no,claude,2,yes,tablet,poor,1062
ira,sacred heart college,arts,4,copilot,2.8,exam prep,5,-5,no,other,6,yes,mobile,poor,1063
ira,sacred heart college,arts,4,copilot,2.8,coding help,5,-5,no,other,6,yes,mobile,poor,1063
meera,kristu jayanti college,commerce,2,other,4.3,assignments,1,-3,no,bard,8,yes,mobile,poor,1064
meera,kristu jayanti college,commerce,2,other,4.3,content writing,1,-3,no,bard,8,yes,mobile,poor,1064
meera,kristu jayanti college,commerce,2,other,4.3,exam prep,1,-3,no,bard,8,yes,mobile,poor,1064
saanvi,"government college of arts science and commerce sanquelim, north goa",science,4,other,4.2,exam prep,3,1,no,copilot,2,yes,laptop,high,1065
navya,institute for excellence in higher education,science,4,copilot,3.5,doubt solving,4,-4,no,copilot,6,yes,laptop,high,1066
navya,institute for excellence in higher education,science,4,copilot,3.5,assignments,4,-4,no,copilot,6,yes,laptop,high,1066
aarohi,guru nanak institute of technology,pharmacy,1,other,4.4,projects,2,3,no,bard,8,no,mobile,high,1067
aarohi,guru nanak institute of technology,pharmacy,1,other,4.4,assignments,2,3,no,bard,8,no,mobile,high,1067
prisha,"miranda house, new delhi",commerce,3,bard,1.1,exam prep,1,-5,yes,other,3,yes,tablet,high,1068
prisha,"miranda house, new delhi",commerce,3,bard,1.1,doubt solving,1,-5,yes,other,3,yes,tablet,high,1068
ishita,panjab university,science,4,chatgpt,1.5,exam prep,1,5,yes,claude,5,no,laptop,poor,1069
rakhi,"adwaita malla barman smriti mahavidyalaya (ambs), amarpur",arts,4,gemini,2.6,projects,2,4,yes,chatgpt,5,yes,laptop,high,1070
ramya,ashoka institute of technology and management,pharmacy,3,chatgpt,1.8,exam prep,4,3,no,copilot,6,yes,laptop,poor,1071
ramya,ashoka institute of technology and management,pharmacy,3,chatgpt,1.8,resume writing,4,3,no,copilot,6,yes,laptop,poor,1071
